depth_m,qc_MPa,fs_kPa,inclination_degree,s_wave_travel_time_ms,point_id,utm_x_m,utm_y_m,elevation_m,total_depth_m,water_depth_m,Rf_percent
10.4,9.0,71.2,0.0,,MYC004,612391,4085166,9.1,12.4,,0.7911111111111112
10.5,9.4,48.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.5106382978723404
10.6,10.4,68.5,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6586538461538461
10.7,14.9,65.5,0.0,,MYC004,612391,4085166,9.1,12.4,,0.4395973154362416
10.8,15.3,106.8,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6980392156862745
10.9,14.5,91.4,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6303448275862069
11.0,17.0,80.3,0.0,,MYC004,612391,4085166,9.1,12.4,,0.47235294117647053
11.1,12.7,114.9,0.0,,MYC004,612391,4085166,9.1,12.4,,0.9047244094488189
11.2,16.4,53.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.32378048780487806
11.3,17.1,98.4,0.0,,MYC004,612391,4085166,9.1,12.4,,0.5754385964912281
11.4,16.0,101.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.631875
11.5,16.6,94.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.566867469879518
11.6,16.0,105.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.656875
11.7,15.6,105.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6737179487179488
11.8,14.9,102.5,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6879194630872484
11.9,15.0,101.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6739999999999999
12.0,16.7,110.2,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6598802395209581
12.1,16.6,118.9,0.0,,MYC004,612391,4085166,9.1,12.4,,0.7162650602409639
12.2,16.2,110.5,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6820987654320988
0.4,1.2,3.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.2833333333333333
0.5,1.0,5.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5
0.6,2.5,15.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6160000000000001
0.7,3.5,24.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7000000000000001
0.8,4.1,29.2,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7121951219512196
0.9,3.8,27.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7342105263157894
1.0,2.8,21.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7678571428571429
1.1,1.9,10.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.531578947368421
1.2,1.6,8.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.50625
1.3,1.4,4.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.33571428571428574
1.4,1.8,10.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5944444444444444
1.5,2.4,14.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.6
1.6,2.5,19.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7640000000000001
1.7,1.4,29.9,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,2.1357142857142857
1.8,1.1,16.5,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.5
1.9,1.7,10.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.5941176470588235
2.0,1.5,19.1,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,1.2733333333333334
2.1,1.4,41.6,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,2.9714285714285715
2.2,4.3,38.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.8906976744186047
2.3,7.3,58.4,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.8
2.4,6.3,49.7,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.788888888888889
2.5,5.5,42.0,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7636363636363637
2.6,5.8,44.3,0.0,,MYC005,612276,4085153,8.9,15.1,4.7,0.7637931034482759
